Unique #,Label,L*,a*,b*,H1,H2,V,C,DecHue,Nom40H,NomV,NomC,NomH1,NomH2
1213,baby blue ,77.993,-5.225,-9.972,1.4,PB,7.8,2.9,71.4,29,8,2,2.5,PB
1234,baby pink ,84.381,15.682,6.977,3.5,R,8.4,4,3.5,1,8,4,2.5,R
1241,baby yellow,89,2,28,2.8,Y,8.8,3.7,22.8,9,9,4,2.5,Y
1245,bachelor button [blue],68.882,-26.923,-26.435,6,B,6.8,7.9,66,26,7,8,5,B
1244,bachelor button [red],59.395,37.442,3.882,7.8,RP,5.8,8.9,97.8,39,6,8,7.5,RP
1252,Bahamas blue,91.607,-45.342,-4.654,5.5,BG,9.2,7.7,55.5,22,9,8,5,BG
1257,Bakst green,29.488,-24.558,5.594,5.9,G,2.9,4.9,45.9,18,3,4,5,G
1265,ballerina [pink] (v.1),86.285,8.615,-3.173,0.1,RP,8.6,2.8,90.1,36,9,2,10,P
1264,ballerina [pink] (v.2),83.985,12.171,-1.446,4,RP,8.4,3.5,94,38,8,4,5,RP
1271,balsam green (v.1),34.129,-23.717,9.409,3.2,G,3.4,4.8,43.2,17,3,4,2.5,G
1273,balsam green (v.2),40.401,-5.854,-3.409,9.9,BG,4,1.4,59.9,24,4,2,10,BG
1275,balsamic,16,27,17,8,R,1.5,6.1,8,3,2,6,7.5,R
1279,Baltic [blue],33.469,-28.252,-15.58,9.6,BG,3.3,6.2,59.6,24,3,6,10,BG
1278,Baltic [gray],27.34,-3.163,-4.563,7.1,B,2.7,1.1,67.1,27,3,2,7.5,B
1283,bamboo,75.525,1.855,29.252,3.8,Y,7.5,4,23.8,10,8,4,5,Y
1287,bamboo green (or shoot),62,-16,37,4.9,GY,6.1,5.9,34.9,14,6,6,5,GY
1290,banana,80.135,9.59,27.092,8.2,YR,7.9,4.3,18.2,7,8,4,7.5,YR
1292,banana (peel),78.803,9.146,64.374,2.5,Y,7.8,9.6,22.5,9,8,10,2.5,Y
8595,green banana,75.479,-10.082,38.274,2.1,GY,7.4,5.5,32.1,13,7,6,2.5,GY
1309,barberry [red],38.818,51.845,18.358,3.2,R,3.8,11.6,3.2,1,4,12,2.5,R
1313,barberry yellow,81,1,70,5.1,Y,8,9.9,25.1,10,8,10,5,Y
1319,barium yellow,93.207,0.067,57.522,4.6,Y,9.3,7.8,24.6,10,9,8,5,Y
1324,bark,30.657,12.557,15.109,4.1,YR,3,3.2,14.1,6,3,4,5,YR
1325,[light] bark,62.916,7.252,5.178,8.5,R,6.2,1.8,8.5,3,6,2,7.5,R
1334,barn red ,36.423,29.004,18.083,7.4,R,3.6,6.3,7.4,3,4,6,7.5,R
1342,basalt [gray],44.957,-1.142,-3.452,0.2,PB,4.4,0.8,70.2,28,4,0,10,B
1347,basil,63.883,-13.87,9.637,1.4,G,6.3,2.7,41.4,17,6,2,2.5,G
1349,basilica blue,22.792,-2.865,-12.001,2.2,PB,2.3,2.7,72.2,29,2,2,2.5,PB
1352,bat,33.433,-0.204,0.12,#,N,3.3,0,-1,0,3,0,N,3
1364,batwing brown,30.676,6.384,9.676,7.1,YR,3,1.8,17.1,7,3,2,7.5,YR
1354,Bath stone,80.232,10.181,23.828,7.3,YR,7.9,4.1,17.3,7,8,4,7.5,YR
1361,battleship gray,46.75,-0.765,-3.412,2.6,PB,4.6,0.9,72.6,29,5,0,2.5,PB
6124,dreadnought gray,71.588,-2.508,3.747,6.3,GY,7.1,0.6,36.3,15,7,0,7.5,GY
1365,Bavarian blue,72.903,-1.757,-3.054,0.2,PB,7.2,1,70.2,28,7,2,10,B
1371,bay leaf,55.215,20.129,42.837,7.1,YR,5.4,7.4,17.1,7,5,8,7.5,YR
1377,bayberry [red],41,38,12,2.5,R,4,8.1,2.5,1,4,8,2.5,R
1376,bayberry [green],72,-3,44,7.2,Y,7.1,6.1,27.2,11,7,6,7.5,Y
1383,bayou [green],90.051,-9.581,26.576,4.1,GY,9,3.5,34.1,14,9,4,5,GY
1380,bayou [blue],29.249,-18.664,-6.263,6.5,BG,2.9,3.8,56.5,23,3,4,7.5,BG
1384,beach,60.755,1.865,13.471,2.4,Y,6,1.9,22.4,9,6,2,2.5,Y
1392,beagle green,28.684,-11.742,4.014,4.7,G,2.8,2.6,44.7,18,3,2,5,G
1395,bearskin [gray],34.378,3.386,4.01,5.1,YR,3.4,0.8,15.1,6,3,0,5,YR
1396,beau blue,46.985,-3.762,-18.266,3.7,PB,4.6,4.6,73.7,29,5,4,2.5,PB
1403,Beauvais cream,86.73,4.359,19.737,8,YR,8.6,2.7,18,7,9,2,7.5,YR
1404,Beauvais gray,81.82,-2.991,7.871,3.9,GY,8.1,1,33.9,14,8,2,5,GY
1405,Beauvais lilac,83.261,5.385,12.69,7.4,YR,8.3,2.2,17.4,7,8,2,7.5,YR
1412,beaver [gray],45.941,9.055,16.315,7.5,YR,4.5,2.8,17.5,7,5,2,7.5,YR
1406,[light] beaver [gray],67.323,7.018,14.948,6.3,YR,6.6,2.5,16.3,7,7,2,7.5,YR
1429,bee-eater blue,64.115,-37.45,-30.482,4,B,6.4,10,64,26,6,10,5,B
1439,beechnut,44.746,10.856,14.958,5.3,YR,4.4,2.8,15.3,6,4,2,5,YR
1436,beech brown,34.874,16.309,17.463,3.1,YR,3.4,3.9,13.1,5,3,4,2.5,YR
1443,beeswax,42.389,11.861,29.154,8.8,YR,4.1,4.6,18.8,8,4,4,10,YR
1445,beet red,30.618,40.71,5.073,9.9,RP,3,8.2,99.9,40,3,8,10,RP
1454,beetroot purple,34.756,53.112,-11.157,4.9,RP,3.4,11.7,94.9,38,3,12,5,RP
8598,beetle green,42.579,-30.383,17.106,1.8,G,4.2,6,41.8,17,4,6,2.5,G
1464,begonia [pink],89.376,14.016,10.714,8.1,R,8.9,3.5,8.1,3,9,4,7.5,R
1467,begonia rose,65.207,47.756,26.816,5.7,R,6.4,11.3,5.7,2,6,12,5,R
1495,beige,60.826,11.878,24.79,7.5,YR,5.9,4.4,17.5,7,6,4,7.5,YR
1510,beige brown,38.304,15.41,21.22,4.7,YR,3.7,4.1,14.7,6,4,4,5,YR
1500,light beige ,73.791,5.343,13.094,8.2,YR,7.3,2.2,18.2,7,7,2,7.5,YR
1519,beige gray,83.208,0.245,15.542,3.9,Y,8.3,2,23.9,10,8,2,5,Y
8601,green beige,76.266,1.761,27.854,3.3,Y,7.5,4,23.3,9,8,4,2.5,Y