Unique #,Name,L*,a*,b*,PT_H1,PT_H2,PT_V,PT_C,DecHue,NomH1,NomH2,NomV,NomC
,cacao brown,51.827,28.671,33.44,2.1,YR,5,7.5,12.1,2.5,YR,5,8
,cactus [green],53.867,-5.71,8.842,6.2,GY,5.3,1.7,36.2,5,GY,5,2
,cactus flower,45.255,49.876,-3.458,6.2,RP,4.4,11.1,96.2,5,RP,4,12
,cadet blue,46.38,-2.155,-36.979,5.1,PB,4.6,9.1,75.1,5,PB,5,10
,[pale] cadet blue,71.886,-2.829,-24.181,5.2,PB,7.1,6.3,75.2,5,PB,7,6
,cadet gray,61.735,-5.45,-10.482,0.3,PB,6.1,3,70.3,10,B,6,4
,cadmium green,71,-25,63,5,GY,7,9.9,35,5,GY,7,10
,cadmium lemon [yellow],90,-5,86,7.2,Y,8.9,11.9,27.2,7.5,Y,9,12
,cadmium orange,59,46,48,0.1,YR,5.7,12.1,10.1,10,R,6,12
,cadmium red,51,60,31,5,R,4.9,13.8,5,5,R,5,14
,cadmium yellow,78,11,80,2.5,Y,7.7,12,22.5,2.5,Y,8,12
,calabash,72.333,18.687,12.96,7.7,R,7.1,4.6,7.7,7.5,R,7,4
,calamine blue,77.425,-15.303,-6.892,1.6,B,7.7,3.3,61.6,2.5,B,8,4
,Caledonian brown,41.623,24.561,31.02,3.2,YR,4,6.5,13.2,2.5,YR,4,6
,California color,43.665,14.349,28.644,7.7,YR,4.3,4.9,17.7,7.5,YR,4,4
,calla green,44.667,-7.577,24.07,2.5,GY,4.4,3.6,32.5,2.5,GY,4,4
,camel,63.678,9.376,18.871,7.3,YR,6.2,3.6,17.3,7.5,YR,6,4
,camellia [red],54.856,54.805,29.83,5.4,R,5.3,12.6,5.4,5,R,5,12
,camellia rose,75.022,42.343,10.842,0.2,R,7.4,10,0.2,10,RP,7,10
,cameo,84.491,10.38,25.335,7.6,YR,8.4,4.4,17.6,7.5,YR,8,4
,cameo brown,42.735,14.275,12.949,1.4,YR,4.2,3.2,11.4,2.5,YR,4,4
,cameo green,76.365,-12.982,6.982,3,G,7.6,2.2,43,2.5,G,8,2
,cameo blue,76.014,-18.737,-3.668,7.1,BG,7.5,3.6,57.1,7.5,BG,8,4
,cameo violet,45.557,16.351,-0.612,6,RP,4.5,3.3,96,5,RP,5,4
,cameo pink,69.108,20.315,0.213,5.8,RP,6.8,5.1,95.8,5,RP,7,6
,camouflage red,36.863,18.196,16.065,0.9,YR,3.6,4.1,10.9,10,R,4,4
,camouflage desert sand,62.223,9.667,15.911,5.5,YR,6.1,3.1,15.5,5,YR,6,4
,camouflage earth brown,35.268,6.156,11.014,8,YR,3.5,1.9,18,7.5,YR,4,2
,camouflage tan,66.482,6.908,19.021,9,YR,6.5,3.2,19,10,YR,7,4
,camouflage gray,45.817,0,0.646,9.2,Y,4.5,0.1,29.2,10,Y,5,0
,camouflage green ,37.977,-5.194,13.72,2.7,GY,3.7,2.1,32.7,2.5,GY,4,2
,campanula [blue],47.541,11.954,-40.657,8.4,PB,4.7,10.5,78.4,7.5,PB,5,10
,campanula mauve,46.981,29.006,-30.961,4.9,P,4.6,10.2,84.9,5,P,5,10
,campanula violet,38.447,37.492,-43.549,2.9,P,3.8,13.3,82.9,2.5,P,4,14
,canary [yellow],80.758,3.092,63.912,4.9,Y,8,9.4,24.9,5,Y,8,10
,candy apple red,49,68,35,4.9,R,4.7,15.7,4.9,5,R,5,16
,candy pink,85.89,14.527,10.327,7.5,R,8.5,3.7,7.5,7.5,R,9,4
,candy orange,68,43,46,10,R,7,12,10,10,R,7,12
,candy lime,70,-35,30,10,GY,7,8,40,10,GY,7,8
,candy green,67.521,-35.315,-1.421,4.1,BG,6.7,6.6,54.1,5,BG,7,6
,candy blue,67.951,-5.955,-26.48,3.9,PB,6.7,6.8,73.9,5,PB,7,6
,cantaloupe,80,15,34,7.2,YR,7.9,5.9,17.2,7.5,YR,8,6
,Canton blue,29.515,-8.413,-8.488,5,B,2.9,2.3,65,5,B,3,2
,Canton green,34.424,-18.651,-4.904,5.4,BG,3.4,3.7,55.4,5,BG,3,4
,Canton jade,37.881,-22.35,-2.602,3.7,BG,3.7,4.2,53.7,2.5,BG,4,4
,caper green ,39.632,-0.215,16.607,6.1,Y,3.9,2.3,26.1,5,Y,4,2
,capsicum red,57.486,65.293,57.254,8.1,R,5.6,17,8.1,7.5,R,6,18
,capucine,69.964,63.002,59.801,8.8,R,6.8,15.4,8.8,10,R,7,16
,capucine red,74.918,41.513,61.034,3.1,YR,7.4,12.7,13.1,2.5,YR,7,12
,capucine orange,78.603,26.829,53.574,5.7,YR,7.7,9.9,15.7,5,YR,8,10
,capucine buff,83.992,13.268,36.314,8.4,YR,8.3,6.2,18.4,7.5,YR,8,6
,capucine yellow,74.88,22.821,64.216,8.1,YR,7.4,10.3,18.1,7.5,YR,7,10
,caput mortuum,30,12,2,0.2,R,3,2.1,0.2,10,RP,3,2
,caramel,55.984,19.335,35.154,6.4,YR,5.5,6.2,16.4,7.5,YR,6,6
,caramel brown,29.604,16.982,15.236,1.6,YR,2.9,3.7,11.6,2.5,YR,3,4
,carbon [black],31,0,0,#,N,3.1,0,-1,N,3,3,0
,cardinal,42.568,60.208,25.943,4.1,R,4.1,13.2,4.1,5,R,4,14
,[dark] cardinal,35.631,51.054,18.781,3.9,R,3.5,10.3,3.9,5,R,4,10
,Caribbean [blue],49.382,-30.08,-29.526,5.1,B,4.9,8.7,65.1,5,B,5,8
,Caribbean [green],81.55,-34.879,-1.533,4,BG,8.1,6.5,54,5,BG,8,6
,carmine,53.342,73.118,50.562,6.8,R,5.2,17.2,6.8,7.5,R,5,18
,burnt carmine,37.015,52.625,17.127,2.8,R,3.6,11.7,2.8,2.5,R,4,12
,carmine rose,59.937,40.986,11.76,1,R,5.9,9.7,1,10,RP,6,10
,carnation [pink],79.892,29.599,3.005,7.3,RP,7.9,7,97.3,7.5,RP,8,8
,carnation [red],48.131,48.193,11.631,0.6,R,4.7,10.8,0.6,10,RP,5,10
,carnation green,67.418,-5.823,6.387,8.5,GY,6.6,1.2,38.5,7.5,GY,7,2
,carnelian,61.784,35.057,32.239,9.7,R,6,8.8,9.7,10,R,6,8
,carnelian red,65.552,48.341,42.178,8.7,R,6.4,11.4,8.7,7.5,R,6,12
,carob,30.68,15.213,18.32,4,YR,3,3.9,14,5,YR,3,4
,carrara green,26.339,-25.761,3.475,8.7,G,2.6,5.1,48.7,7.5,G,3,6
,carrot,81.845,37.061,55.846,3.2,YR,8.1,11.4,13.2,2.5,YR,8,12
,carrot red,72.077,38.218,36.522,9.8,R,7.1,9.8,9.8,10,R,7,10
,carthamus red,53.205,69.244,47.853,6.9,R,5.2,16.2,6.9,7.5,R,5,16
,cartridge buff,87.386,4.216,23.296,0.2,Y,8.7,3.3,20.2,10,YR,9,4
,cascade [blue],51.622,-13.283,-20.048,8.3,B,5.1,5.3,68.3,7.5,B,5,6
,cascade [green],71.465,-31.449,-11.156,9.1,BG,7.1,6.7,59.1,10,BG,7,6
,cashew,54.08,16.76,33.344,7,YR,5.3,5.8,17,7.5,YR,5,6
,cashmere,81,3.69,18.29,9.2,YR,8,2.6,19.2,10,YR,8,2
,cashmere [beige],70.601,4.456,7.115,5.5,YR,7,1.4,15.5,5,YR,7,2
,Castilian blue,41.39,-7.61,-40.67,3.2,PB,4.1,9.8,73.2,2.5,PB,4,10
,Castilian red,40.625,62.362,41.492,7.1,R,3.9,14.5,7.1,7.5,R,4,14
,Castilian brown,36.844,29.9,15.082,5.3,R,3.6,6.5,5.3,5,R,4,6
,Castile earth,44.28,17.622,23.113,4.2,YR,4.3,4.6,14.2,5,YR,4,4
,castle gray,59.065,-1.28,-4.839,2.7,PB,5.8,1.4,72.7,2.5,PB,6,2
,castor,33.224,4.305,8.479,9.1,YR,3.3,1.4,19.1,10,YR,3,2
,catawba,26.23,24.955,5.424,1.3,R,2.6,4.8,1.3,2.5,R,3,4
,catechu,43.15,19.212,22.399,3.1,YR,4.2,4.7,13.1,2.5,YR,4,4
,cathedral blue,50.308,8.695,-27.339,8.6,PB,5,6.8,78.6,7.5,PB,5,6
,catkin,82.54,-8.492,29.397,2.1,GY,8.2,4.1,32.1,2.5,GY,8,4
,cattail,29.149,15.554,16.476,3,YR,2.9,3.7,13,2.5,YR,3,4
,cauldron,36.509,34.018,26.79,9,R,3.6,7.7,9,10,R,4,8
,cayenne,56.259,58.911,29.901,4.9,R,5.5,13.5,4.9,5,R,6,14
,cedar [green],35.956,-7.222,16.869,1.5,GY,3.5,2.7,31.5,2.5,GY,4,2
,cedar wood,50.01,22.69,16.41,8.5,R,4.9,5.3,8.5,7.5,R,5,6
,celadon,82,-14,9,2,G,8.1,2.5,42,2.5,G,8,2
,celadon green,60.457,-8.882,14.704,6.1,GY,5.9,2.5,36.1,5,GY,6,2
,celadon blue,70,-10,-4,0.1,B,6.9,2.1,60.1,10,BG,7,2
,celery green,80.193,-10.543,40.813,2,GY,7.9,5.8,32,2.5,GY,8,6
,celeste,89.21,-12.127,-6.207,2.4,B,8.9,2.4,62.4,2.5,B,9,2
,celeste [dark],49.393,-2.982,-11.688,3.1,PB,4.9,3,73.1,2.5,PB,5,4
,cement [gray],53.889,-3.122,7.238,3.5,GY,5.3,1.1,33.5,2.5,GY,5,2
,cendre,88.73,-2.014,10.279,9.8,Y,8.8,1.2,29.8,10,Y,9,2
,cendre blue,64.392,-23.021,-20.557,5,B,6.4,6.4,65,5,B,6,6
,cendre green,67.261,-39.24,18.363,3.5,G,6.6,7.8,43.5,2.5,G,7,8
,pale cendre green,83.82,-7.599,20.773,2.9,GY,8.3,2.7,32.9,2.5,GY,8,2
,ceramic blue,40.8,-15.816,-19.557,6.1,B,4,5.4,66.1,5,B,4,6
,ceramic blue (GS),47.852,-20.55,-4.668,6.1,BG,4.7,4,56.1,5,BG,5,4
,cerulean [blue] (traditional),89.21,-12.127,-6.207,2.4,B,8.9,2.4,62.4,2.5,B,9,2
,cerulean [blue] (contemporary),54.53,-24.602,-37.416,8.1,B,5.4,9.8,68.1,7.5,B,5,10
,chalcedony yellow,81.941,-6.255,43.603,9.2,Y,8.1,5.9,29.2,10,Y,8,6
,chalk pink,78.978,23.333,15.98,7.1,R,7.8,5.6,7.1,7.5,R,8,6
,chalk red,46.476,33.395,30.046,9.7,R,4.5,8,9.7,10,R,5,8
,chalk beige,69.027,7.974,22.483,8.9,YR,6.8,3.9,18.9,10,YR,7,4
,chalk green,85,-6,5,1.2,G,8.4,1,41.2,2.5,G,8,1
,chalk blue,36.91,1.054,-19.578,5.3,PB,3.7,4.5,75.3,5,PB,4,4
,chalk violet,66.416,10.942,-12.138,5.8,P,6.6,4.4,85.8,5,P,7,4
,chambray [blue],72.909,-2.592,-19.306,4.9,PB,7.2,5.1,74.9,5,PB,7,6
,chameleon [green],71,-22,5,7.9,G,7,4,47.9,7.5,G,7,4
,chameleon green [pale],81,-12,7,2.4,G,8,2,42.4,2.5,G,8,2
,chamois,83.594,11.432,44.498,10,YR,8.3,7,20,10,YR,8,8
,chamomile (tea),86.519,3.202,26.855,2,Y,8.6,3.6,22,2.5,Y,9,4
,chamomile (dye),71,-4,71,7.6,Y,7,9.9,27.6,7.5,Y,7,10
,champagne,83.314,8.985,33.471,9.9,YR,8.3,5.2,19.9,10,YR,8,6
,champagne green,41,-23,29,7.6,GY,4,6,37.6,7.5,GY,4,6
,charcoal gray (cool),40.711,-0.891,-4.113,1.8,PB,4,0.9,71.8,2.5,PB,4,0
,charcoal gray (neutral),41,0,0,#,N,4,0,-1,N,4,4,0
,charcoal gray (warm),30,-8,-37,2.5,PB,3,8.3,72.5,2.5,PB,3,8
,Charleston green,20,-4,-1,4.9,BG,2,1,54.9,5,BG,2,2
,chartreuse (ys),73.372,-1.82,66.308,6.9,Y,7.2,9.4,26.9,7.5,Y,7,10
,chartreuse (gs),68.047,-15.721,43.459,3.7,GY,6.7,6.7,33.7,2.5,GY,7,6
,chartreuse green,87.12,-19.918,53.218,4.8,GY,8.6,7.7,34.8,5,GY,9,8
,chasseur,34.482,-15.86,-0.881,2.3,BG,3.4,3.2,52.3,2.5,BG,3,4
,chateau gray,50.393,1.021,3.384,1.3,Y,4.9,0.5,21.3,2.5,Y,5,0
,cheddar,69.384,30.076,55.792,5.2,YR,6.8,10.6,15.2,5,YR,7,10
,cherry [red],53.321,68.845,19.658,1.8,R,5.2,15.5,1.8,2.5,R,5,16
,cerise,50.363,52.531,7.843,9.2,RP,4.9,11.6,99.2,10,RP,5,12
,black cherry,31,30,9,2.7,R,3,6,2.7,2.5,R,3,6
,Wild Cherry,35.684,38.484,3.229,9.3,RP,3.5,7.7,99.3,10,RP,4,8
,cherry blossom,81,15,2,7.8,RP,8,4,97.8,7.5,RP,8,4
,cherry pink,74.407,20.705,7.144,0.4,R,7.4,5.3,0.4,10,RP,7,6
,cherrywood,71,13,20,4.6,YR,7,4,14.6,5,YR,7,4
,chessylite [blue],51.176,-14.961,-17.189,6.9,B,5,4.9,66.9,7.5,B,5,4
,[dark] chessylite [blue],33.927,-10.058,-20.752,9.6,B,3.4,4.7,69.6,10,B,3,4
,chestnut,40.009,24.358,24.003,1.4,YR,3.9,5.8,11.4,2.5,YR,4,6
,chestnut brown,25.77,21.419,15.642,9.9,R,2.5,4.5,9.9,10,R,3,4
,chickadee gray,47.526,1.749,4.81,0.2,Y,4.7,0.8,20.2,10,YR,5,0
,chicory brown,61,22,26,2.4,YR,6,6,12.4,2.5,YR,6,6
,chicory blue,61.772,8.754,-26.418,9.3,PB,6.1,7,79.3,10,PB,6,8
,[light] chicory blue,77.226,4.875,-16.079,9.8,PB,7.7,4.5,79.8,10,PB,8,4
,[deep] chicory blue,54.929,10.664,-30.645,9,PB,5.4,7.8,79,10,PB,5,8
,green chile,51,-30,40,7.6,GY,5,8.1,37.6,7.5,GY,5,8
,chili pepper [red],36.807,50.906,23.248,4.4,R,3.6,11.3,4.4,5,R,4,12
,chimney red,39.223,47.107,29.154,6.9,R,3.8,10.6,6.9,7.5,R,4,10
,Chinese blue,49.708,-13.735,-21.473,8.6,B,4.9,5.6,68.6,7.5,B,5,6
,Chinese rose,48.716,48.471,13.75,1.6,R,4.7,10.7,1.6,2.5,R,5,10
,Chinese green,61.368,-35.899,17.454,2.6,G,6,7.3,42.6,2.5,G,6,8
,Chinese red,47.976,51.613,42.348,8.4,R,4.6,12.8,8.4,7.5,R,5,12
,Chinese yellow,76.293,16.656,46.404,8.4,YR,7.5,7.8,18.4,7.5,YR,8,8
,chinchilla,56.605,0.397,2.785,2.6,Y,5.6,0.4,22.6,2.5,Y,6,0
,chipmunk,51.549,14.317,40.876,9.3,YR,5,6.4,19.3,10,YR,5,6
,chive,43.351,-17.745,21.823,7.4,GY,4.2,4.6,37.4,7.5,GY,4,4
,chocolate,33.485,13.339,19.077,5.5,YR,3.3,3.8,15.5,5,YR,3,4
,dark chocolate,25.556,8.962,6.994,1,YR,2.5,1.8,11,10,R,3,2
,milk chocolate,51,20,31,4.8,YR,5,6,14.8,5,YR,5,6
,white chocolate,86,-1,31,4.8,Y,8.5,4,24.8,5,Y,9,4
,Christmas/holly red,50,64,48,7.5,R,4.8,15.4,7.5,7.5,R,5,16
,Christmas/holly green,52,-35,31,0,G,5.1,8,40,10,GY,5,8
,chrome yellow,81.265,18.752,70.759,9.7,YR,8,11.2,19.7,10,YR,8,12
,chrome yellow primrose,93.485,-6.191,64.181,7.6,Y,9.3,8.7,27.6,7.5,Y,9,8
,chrome orange,65.953,33.98,59.854,4.5,YR,6.4,11.4,14.5,5,YR,6,12
,chrome red/scarlet,59.192,53.048,55.886,9.8,R,5.7,13.8,9.8,10,R,6,14
,chrome green,42.365,-44.248,6.825,7.7,G,4.2,8.2,47.7,7.5,G,4,8
,chrysanthemum crimson,43.732,53.248,9.385,0.2,R,4.3,11.7,0.2,10,RP,4,12
,chrysanthemum yellow,86.896,5.16,91.726,4.3,Y,8.6,13.6,24.3,5,Y,9,14
,chrysocolla [green],59.951,-54.554,10.368,7.5,G,5.9,10.4,47.5,7.5,G,6,10
,chutney,36.634,30.274,25.315,9.9,R,3.6,7,9.9,10,R,4,8
,cinder [gray],60.633,6.005,5.031,1.7,YR,5.9,1.4,11.7,2.5,YR,6,2
,cinnabar,58.873,65.569,47.841,7.1,R,5.7,15.8,7.1,7.5,R,6,16
,cinnabar green,46.426,-16.466,4.592,7.1,G,4.6,3.2,47.1,7.5,G,5,4
,cinnamon,67.354,17.024,38.912,7.4,YR,6.6,6.8,17.4,7.5,YR,7,6
,cinnamon brown ,43.622,13.588,25.485,7.3,YR,4.3,4.4,17.3,7.5,YR,4,4
,cinnamon pink,62.745,12.68,13.769,2,YR,6.2,3.4,12,2.5,YR,6,4
,citrine (gem),81,9,66,2.6,Y,8,9.8,22.6,2.5,Y,8,10
,citrine (tertiary color),53.131,2.492,32.183,4,Y,5.2,4.4,24,5,Y,5,4
,citron [yellow],81.014,1.251,48.986,3.8,Y,8,6.8,23.8,5,Y,8,6
,citron green,74.378,-4.432,40.636,8.2,Y,7.3,5.6,28.2,7.5,Y,7,6
,citronella,78.562,-8.376,61.094,9.3,Y,7.7,8.5,29.3,10,Y,8,8
,citrus,81.162,21.609,73.457,9.1,YR,8,11.7,19.1,10,YR,8,12
,citrus yellow,83.311,-4.516,50.491,7.4,Y,8.2,6.9,27.4,7.5,Y,8,6
,citrus yellow (gs),91.617,-5.526,35.235,9.1,Y,9.1,4.5,29.1,10,Y,9,4
,clair de lune,56.338,-7.033,-3.824,2,B,5.5,1.6,62,2.5,B,6,2
,claret,40.436,51.852,18.66,3.4,R,3.9,11.6,3.4,2.5,R,4,12
,clay,58.048,12.36,34.797,9.1,YR,5.7,5.9,19.1,10,YR,6,6
,green clay,61,-3,15,9.9,Y,6,2,29.9,10,Y,6,2
,white clay,80,-2,8,1.1,GY,7.9,1,31.1,10,Y,8,2
